"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HUR","TOT","PC_LF","A","2005",6.033333,
"AUT","HUR","TOT","PC_LF","A","2006",5.641667,
"AUT","HUR","TOT","PC_LF","A","2007",5.216667,
"AUT","HUR","TOT","PC_LF","A","2008",4.441667,
"AUT","HUR","TOT","PC_LF","A","2009",5.666667,
"AUT","HUR","TOT","PC_LF","A","2010",5.191667,
"AUT","HUR","TOT","PC_LF","A","2011",4.9,
"AUT","HUR","TOT","PC_LF","A","2012",5.191667,
"AUT","HUR","TOT","PC_LF","A","2013",5.725,
"AUT","HUR","TOT","PC_LF","A","2014",6.033333,
"AUT","HUR","TOT","PC_LF","A","2015",6.15,
"AUT","HUR","TOT","PC_LF","A","2016",6.45,
"AUT","HUR","TOT","PC_LF","A","2017",5.925,
"AUT","HUR","TOT","PC_LF","A","2018",5.208333,
"AUT","HUR","TOT","PC_LF","A","2019",4.841667,
"AUT","HUR","TOT","PC_LF","A","2020",6.025,
"AUT","HUR","TOT","PC_LF","A","2021",6.2,
"BEL","HUR","TOT","PC_LF","A","2005",8.433333,
"BEL","HUR","TOT","PC_LF","A","2006",8.25,
"BEL","HUR","TOT","PC_LF","A","2007",7.483333,
"BEL","HUR","TOT","PC_LF","A","2008",6.975,"B"
"BEL","HUR","TOT","PC_LF","A","2009",7.991667,
"BEL","HUR","TOT","PC_LF","A","2010",8.375,
"BEL","HUR","TOT","PC_LF","A","2011",7.216667,
"BEL","HUR","TOT","PC_LF","A","2012",7.633333,
"BEL","HUR","TOT","PC_LF","A","2013",8.55,
"BEL","HUR","TOT","PC_LF","A","2014",8.658334,
"BEL","HUR","TOT","PC_LF","A","2015",8.65,
"BEL","HUR","TOT","PC_LF","A","2016",7.941667,"B"
"BEL","HUR","TOT","PC_LF","A","2017",7.183333,
"BEL","HUR","TOT","PC_LF","A","2018",6.033333,
"BEL","HUR","TOT","PC_LF","A","2019",5.441667,
"BEL","HUR","TOT","PC_LF","A","2020",5.758333,
"BEL","HUR","TOT","PC_LF","A","2021",6.266666,
"CZE","HUR","TOT","PC_LF","A","2005",7.941667,
"CZE","HUR","TOT","PC_LF","A","2006",7.133333,
"CZE","HUR","TOT","PC_LF","A","2007",5.325,
"CZE","HUR","TOT","PC_LF","A","2008",4.408333,
"CZE","HUR","TOT","PC_LF","A","2009",6.683333,
"CZE","HUR","TOT","PC_LF","A","2010",7.291667,
"CZE","HUR","TOT","PC_LF","A","2011",6.716667,
"CZE","HUR","TOT","PC_LF","A","2012",6.975,
"CZE","HUR","TOT","PC_LF","A","2013",6.966667,
"CZE","HUR","TOT","PC_LF","A","2014",6.116667,
"CZE","HUR","TOT","PC_LF","A","2015",5.058333,
"CZE","HUR","TOT","PC_LF","A","2016",3.966667,
"CZE","HUR","TOT","PC_LF","A","2017",2.908333,
"CZE","HUR","TOT","PC_LF","A","2018",2.266667,
"CZE","HUR","TOT","PC_LF","A","2019",2.016667,
"CZE","HUR","TOT","PC_LF","A","2020",2.55,
"CZE","HUR","TOT","PC_LF","A","2021",2.808333,
"DNK","HUR","TOT","PC_LF","A","2005",4.841667,
"DNK","HUR","TOT","PC_LF","A","2006",3.908333,
"DNK","HUR","TOT","PC_LF","A","2007",3.75,
